VEHICLE CODE      VEHICLE LITERAL
AUTO-CHRY-200      CHRYSLER NULL
AUTO-CHRY-300      CHRYSLER 300
AUTO-CHRY-ASP      CHRYSLER ASPEN
AUTO-CHRY-CBO      CHRYSLER PT CABRIO
AUTO-CHRY-CIR      CHRYSLER CIRRUS
AUTO-CHRY-CNC      CHRYSLER CONCORDE
AUTO-CHRY-COM      CHRYSLER COMMANDER
AUTO-CHRY-CON      CHRYSLER CONQUEST (MODEL YEAR 1987 AND LATER)
AUTO-CHRY-COR      CHRYSLER CORDOBA
AUTO-CHRY-CRF      CHRYSLER CROSSFILE
AUTO-CHRY-CRU      CHRYSLER PT CRUISER
AUTO-CHRY-CVN      CHRYSLER CARAVAN
AUTO-CHRY-DYN      CHRYSLER DYNASTY
AUTO-CHRY-ECL      CHRYSLER E CLASS
AUTO-CHRY-EXE      CHRYSLER EXECUTIVE SEDAN
AUTO-CHRY-FAV      CHRYSLER FIFTH AVENUE
AUTO-CHRY-GVY      CHRYSLER GRAND VOYAGER
AUTO-CHRY-IMP      CHRYSLER IMPERIAL
AUTO-CHRY-INT      CHRYSLER INTREPID
AUTO-CHRY-IPR      CHRYSLER IMPERIAL (PRIOR TO 1955 AND MODEL 1990, 1991, 199
AUTO-CHRY-LAS      CHRYSLER LASER
AUTO-CHRY-LBN      CHRYSLER LEBARON (FOR VEHICLE YEAR L978 OR LATER)
AUTO-CHRY-LHS      CHRYSLER LHS
AUTO-CHRY-LID      CHRYSLER LIDO
AUTO-CHRY-LIM      CHRYSLER LIMOSINE
AUTO-CHRY-NEW      CHRYSLER NEWPORT
AUTO-CHRY-NY       CHRYSLER NEW YORKER
AUTO-CHRY-PCF      CHRYSLER PACIFICA (SPORT WAGON)
AUTO-CHRY-PRW      CHRYSLER PROWLER
AUTO-CHRY-ROY      CHRYSLER ROYAL
AUTO-CHRY-SAR      CHRYSLER SARATOGA
AUTO-CHRY-SEB      CHRYSLER SEBRING
AUTO-CHRY-TC       CHRYSLER TC
AUTO-CHRY-TNC      CHRYSLER TOWN & COUNTRY MINIVAN
AUTO-CHRY-TOW      CHRYSLER TOWN & COUNTRY
AUTO-CHRY-VOY      CHRYSLER VOYAGER
AUTO-CHRY-WIN      CHRYSLER WINDSOR
AUTO-CHUC-SPY      CHUCK BECK MOTORSPORTS SPYDER
AUTO-CISI-202      CISITALIA CISITALIA 202
AUTO-CITR-2CV      CITROEN 2CV
AUTO-CITR-AM6      CITROEN AM16
AUTO-CITR-AX       CITROEN AX
AUTO-CITR-D19      CITROEN DS-19
AUTO-CITR-D21      CITROEN DS-21 & D21
AUTO-CITR-ID9      CITROEN ID-19
AUTO-CITR-SM       CITROEN SM
AUTO-CLEN-ROA      CLENET COACH WORKS ROADSTER
AUTO-COMV-COM      COMMUTER VEHICLES, INC. COMUTA-CAR
AUTO-CONU-GLX      CONSULIER GCP
AUTO-CONU-GTP      CONSULIER GTP
AUTO-CORD-810      CORD 810
AUTO-CRBN-MRL      CORBIN MOTORS, INCORPORATED; C MERLIN
AUTO-CRBN-SPW      CORBIN MOTORS, INCORPORATED; C SPARROW
AUTO-CRTC-000      CARTERCAR CO. NULL
